Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.7,RESPONSABLE PRODUCCION,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CI.1.10,GRUISTA,VIGILANTE SEGURIDAD
CI.1.11,PEÓN APOYO,VIGILANTE SEGURIDAD
CI.1.13,VIGILANTE SEGURIDAD,VIGILANTE SEGURIDAD
CI.1.16,TECNICO PREVENCION,VIGILANTE SEGURIDAD
CI.1.17,INGENIERO INSTALACIONES,VIGILANTE SEGURIDAD
CI.1.18,OFICINA TÉCNICA,VIGILANTE SEGURIDAD
CI.1.19,ASESOR BREEAM,VIGILANTE SEGURIDAD
CI.03P.9,VEHICULOS,VIGILANTE SEGURIDAD
CI.03A.2,ANDAMIOS/PLATAFORMAS,VIGILANTE SEGURIDAD
CI.03A.8,CAMIÓN GRUA,CONTENEDORES
CI.03A.10,ALQUILER MAQUINARIA,CONTENEDORES
CI.03A.1,ALQUILER GRUA TORRE,MANITOU
CI.4.1,COMBUSTIBLES,MANITOU
CI.4.2,AGUA,MANITOU
CI.4.9,AGUA,MANITOU
CI.4.3,ELECTRICIDAD,MANITOU
CI.4.15,CAJA DE OBRA,MANITOU
CI.4.7,REPROGRAFÍA/PAPELERIA,MANITOU
CI.4.8,REPROGRAFÍA/PAPELERIA,MANITOU
CI.4.5,RESTO CONSUMOS,MANITOU
CI.4.13,RESTO CONSUMOS,MANITOU
CI.4.18,FERRETERIA,MANITOU
CI.7.3,TASAS OCUPACIÓN Y VEHICULO,PALETS
