Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.7,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CI.1.11,PEÓN APOYO,INDEFINIDO
CI.1.13,VIGILANTE SEGURIDAD,INDEFINIDO
CI.1.2b,JEFE OBRA INSTALACIONES,INDEFINIDO
CI.1.16,TECNICO PREVENCION,INDEFINIDO
CI.1.17,INGENIERO INSTALACIONES,INDEFINIDO
CI.1.19,ASESOR BREEAM,INDEFINIDO
CI.03P.9,VEHICULOS,INDEFINIDO
CI.03A.2,ANDAMIOS/PLATAFORMAS,INDEFINIDO
CI.03A.3,ANDAMIOS/PLATAFORMAS,INDEFINIDO
CI.03A.17,ANDAMIOS/PLATAFORMAS,INDEFINIDO
CI.03A.6,GRUPO ELECTRÓGENO,INDEFINIDO
CI.03A.7,CONTENEDORES,INDEFINIDO
CI.03A.8,CAMIÓN GRUA,INDEFINIDO
CI.03A.5,ALQUILER MAQUINARIA,INDEFINIDO
CI.03A.10,ALQUILER MAQUINARIA,INDEFINIDO
CI.03P.10,ALQUILER MAQUINARIA,INDEFINIDO
CI.03A.15,MEDIOS AUXILIARES,MANITOU
CI.03A.16,MEDIOS AUXILIARES,MANITOU
CI.4.1,COMBUSTIBLES,MANITOU
CI.4.2,AGUA,MANITOU
CI.4.3,ELECTRICIDAD,MANITOU
CI.4.15,CAJA DE OBRA,MANITOU
CI.4.6,REPROGRAFÍA/PAPELERIA,MANITOU
CI.4.8,REPROGRAFÍA/PAPELERIA,MANITOU
CI.4.5,RESTO CONSUMOS,MANITOU
CI.4.13,RESTO CONSUMOS,MANITOU
CI.4.14,RESTO CONSUMOS,MANITOU
CI.4.18,FERRETERIA,MANITOU
CI.4.20,FERRETERIA,MANITOU
CI.4.4,CONSUMOS COM. PROPIET.,MANITOU
CI.4.19,PALETS,MANITOU
